,zip,year_factor,count
1,0,2013,15
2,0,2015,2
3,10000,2004,2
4,10000,2005,5
5,10000,2006,2
6,10000,2007,9
7,10000,2008,5
8,10000,2009,4
9,10000,2010,1
10,10000,2012,6
11,10000,2013,3
12,10000,2014,2
13,10000,2015,3
14,10001,2004,223
15,10001,2005,279
16,10001,2006,273
17,10001,2007,272
18,10001,2008,284
19,10001,2009,257
20,10001,2010,252
21,10001,2011,209
22,10001,2012,172
23,10001,2013,214
24,10001,2014,242
25,10001,2015,423
26,10001,2016,97
27,10002,2004,167
28,10002,2005,305
29,10002,2006,305
30,10002,2007,292
31,10002,2008,315
32,10002,2009,389
33,10002,2010,384
34,10002,2011,338
35,10002,2012,211
36,10002,2013,230
37,10002,2014,325
38,10002,2015,431
39,10002,2016,99
40,10003,2004,327
41,10003,2005,425
42,10003,2006,523
43,10003,2007,620
44,10003,2008,563
45,10003,2009,525
46,10003,2010,445
47,10003,2011,419
48,10003,2012,469
49,10003,2013,449
50,10003,2014,533
51,10003,2015,727
52,10003,2016,116
53,10004,2004,19
54,10004,2005,37
55,10004,2006,50
56,10004,2007,33
57,10004,2008,49
58,10004,2009,62
59,10004,2010,30
60,10004,2011,23
61,10004,2012,33
62,10004,2013,51
63,10004,2014,23
64,10004,2015,17
65,10004,2016,5
66,10005,2004,15
67,10005,2005,19
68,10005,2006,28
69,10005,2007,30
70,10005,2008,19
71,10005,2009,21
72,10005,2010,17
73,10005,2011,33
74,10005,2012,39
75,10005,2013,76
76,10005,2014,43
77,10005,2015,51
78,10005,2016,7
79,10006,2004,8
80,10006,2005,15
81,10006,2006,21
82,10006,2007,11
83,10006,2008,14
84,10006,2009,9
85,10006,2010,11
86,10006,2011,13
87,10006,2012,15
88,10006,2013,12
89,10006,2014,11
90,10006,2015,22
91,10006,2016,10
92,10007,2004,78
93,10007,2005,65
94,10007,2006,55
95,10007,2007,75
96,10007,2008,84
97,10007,2009,56
98,10007,2010,73
99,10007,2011,46
100,10007,2012,44
101,10007,2013,64
102,10007,2014,59
103,10007,2015,85
104,10007,2016,14
105,10009,2004,236
106,10009,2005,379
107,10009,2006,375
108,10009,2007,416
109,10009,2008,433
110,10009,2009,458
111,10009,2010,398
112,10009,2011,345
113,10009,2012,319
114,10009,2013,408
115,10009,2014,358
116,10009,2015,421
117,10009,2016,102
118,10010,2004,259
119,10010,2005,242
120,10010,2006,242
121,10010,2007,209
122,10010,2008,285
123,10010,2009,194
124,10010,2010,165
125,10010,2011,179
126,10010,2012,137
127,10010,2013,228
128,10010,2014,519
129,10010,2015,187
130,10010,2016,26
131,10011,2004,497
132,10011,2005,590
133,10011,2006,540
134,10011,2007,455
135,10011,2008,486
136,10011,2009,439
137,10011,2010,388
138,10011,2011,398
139,10011,2012,322
140,10011,2013,592
141,10011,2014,465
142,10011,2015,543
143,10011,2016,84
144,10012,2004,182
145,10012,2005,280
