Zipcode,year,Borough,Neighborhood,Turnover_AllHomes,MedianSoldPrice_AllHomes,MedianSoldPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,Income
10001,2004,Manhattan,Chelsea and Clinton,3.847125,1026576.325,847.3189453,NA,NA,"$84,496"
10001,2005,Manhattan,Chelsea and Clinton,8.812641667,1466929.145,784.8671977,NA,NA,"$98,616"
10001,2006,Manhattan,Chelsea and Clinton,8.930366667,1726663.041,999.3773092,NA,NA,"$115,797"
10001,2007,Manhattan,Chelsea and Clinton,10.67105833,869537.9145,940.9965668,NA,NA,"$134,949"
10001,2008,Manhattan,Chelsea and Clinton,14.85033333,1263395.491,1049.47725,NA,NA,"$122,949"
10001,2009,Manhattan,Chelsea and Clinton,4.999325,848794.0006,909.770693,NA,NA,"$132,718"
10001,2010,Manhattan,Chelsea and Clinton,5.136725,1298100.478,970.186938,NA,NA,"$128,707"
10001,2011,Manhattan,Chelsea and Clinton,7.578891667,1495029.266,1024.42728,NA,NA,"$129,850"
10001,2012,Manhattan,Chelsea and Clinton,8.601808333,1225102.564,816.0930715,NA,NA,"$144,041"
10001,2013,Manhattan,Chelsea and Clinton,9.993941667,828050.0867,878.5448191,NA,NA,"$152,671"
10002,2004,Manhattan,Lower East Side,3.717841667,592627.2,919.930034,NA,NA,"$28,300"
10002,2005,Manhattan,Lower East Side,4.736441667,901151,580.7507393,NA,NA,"$30,844"
10002,2006,Manhattan,Lower East Side,7.117383333,613130.6863,914.0793357,NA,NA,"$33,570"
10002,2007,Manhattan,Lower East Side,11.94931667,812128.7195,1033.994,NA,NA,"$34,468"
10002,2008,Manhattan,Lower East Side,5.895083333,780914.4357,1154.314794,NA,NA,"$38,549"
10002,2009,Manhattan,Lower East Side,3.505958333,669758.15,835.1352103,NA,NA,"$37,445"
10002,2010,Manhattan,Lower East Side,4.62095,824020.05,665.545563,NA,NA,"$40,065"
10002,2011,Manhattan,Lower East Side,4.133766667,746889.1,750.3403867,NA,NA,"$41,327"
10002,2012,Manhattan,Lower East Side,5.903966667,503486.1111,1034.197065,NA,NA,"$44,740"
10002,2013,Manhattan,Lower East Side,8.418666667,515496.25,1004.724858,NA,NA,"$46,126"
10003,2004,Manhattan,Lower East Side,3.621741667,1101144.912,806.6143884,NA,NA,"$124,118"
10003,2005,Manhattan,Lower East Side,6.079825,887405.25,919.1684441,NA,NA,"$143,042"
10003,2006,Manhattan,Lower East Side,4.372908333,993845.8718,1090.790814,NA,NA,"$168,976"
10003,2007,Manhattan,Lower East Side,5.576783333,1322061.67,1231.060909,NA,NA,"$186,430"
10003,2008,Manhattan,Lower East Side,6.985233333,2150776.369,1448.964997,NA,NA,"$184,124"
