# This automated data download from the USGS Tracking Water Quality of the Nation's Rivers and Streams website have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_QW_ID USGS station identifier for water-quality sampling (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_QW_NAME USGS station name for water-quality sampling
#SITE_FLOW_ID USGS or other agency station identifier for streamflow measurement (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_NAME USGS or other agency station name for streamflow measurement
#DA Drainage area in square miles
#LATITUDE Decimal latitude
#LONGITUDE Decimal longitude
#SITE_TYPE Type of NAWQA Fixed site; possibilities include Reference Agriculture (Agricultural Indicator Site) Urban (Urban Indicator Site) Large Inland Rivers and Coastal Rivers
SITE_QW_ID,SITE_QW_NAME,SITE_FLOW_ID,SITE_FLOW_NAME,DA,LATITUDE,LONGITUDE,SITE_TYPE
01170100,"Green River near Colrain, MA",01170100,"Green River near Colrain, MA",41.0,42.703417,-72.670647,Reference
01184000,"Connecticut River at Thompsonville, CT",01184000,"Connecticut River at Thompsonville, CT",9660.0,41.987319,-72.605367,Coastal Rivers
01209710,"Norwalk River at Winnipauk, CT",01209700,"Norwalk River a T South Wilton, CT",33.0,41.135374,-73.426231,Urban
01349150,"Canajoharie Creek near Canajoharie, NY",01349150,"Canajoharie Creek near Canajoharie, NY",60.0,42.876184,-74.602919,Agriculture
01372043,"Hudson River near Poughkeepsie, NY",01372058,"Hudson River below Poughkeepsie, NY",11700.0,41.72176,-73.940693,Coastal Rivers
01463500,"Delaware River at Trenton, NJ",01463500,"Delaware River at Trenton, NJ",6780.0,40.221667,-74.778056,Coastal Rivers
01578310,"Susquehanna River at Conowingo, MD",01578310,"Susquehanna River at Conowingo, MD",27100.0,39.657913,-76.174175,Coastal Rivers
01610400,"Waites Run near Wardensville, WV",01610400,"Waites Run near Wardensville, WV",13.0,39.042722,-78.598333,Reference
01646580,"Potomac River at Chain Bridge at Washington, DC",01646500,"Potomac River near Washington, DC, Little Falls pump station",11570.0,38.929556,-77.116923,Coastal Rivers
01654000,"Accotink Creek near Annandale, VA",01654000,"Accotink Creek near Annandale, VA",24.0,38.812891,-77.228316,Urban
02087580,"Swift Creek near Apex, NC",02087580,"Swift Creek near Apex, NC",21.0,35.718889,-78.752222,Urban
02089500,"Neuse River at Kinston, NC",02089500,"Neuse River at Kinston, NC",2692.0,35.257778,-77.585556,Large Inland Rivers
02091500,"Contentnea Creek at Hookerton, NC",02091500,"Contentnea Creek at Hookerton, NC",733.0,35.428889,-77.5825,Agriculture
02172300,"McTier Creek near Monetta, SC",02172300,"McTier Creek near Monetta, SC",16.0,33.753477,-81.601771,Reference
02175000,"Edisto River near Givhans, SC",02175000,"Edisto River near Givhans, SC",2730.0,33.027946,-80.391488,Coastal Rivers
02226160,"Altamaha River at Everett City, GA",02226000,"Altamaha River at Doctortown, GA",14000.0,31.427167,-81.605386,Coastal Rivers
02335870,"Sope Creek near Marietta, GA",02335870,"Sope Creek near Marietta, GA",31.0,33.953889,-84.443333,Urban
02338000,"Chattahoochee River near Whitesburg, GA",02338000,"Chattahoochee River near Whitesburg, GA",2430.0,33.477058,-84.900772,Large Inland Rivers
02338523,"Hillibahatchee Creek near Franklin, GA",02338523,"Hillibahatchee Creek near Franklin, GA",17.0,33.340672,-85.22689,Reference
02359170,"Apalachicola River near Sumatra, FL",02359170,"Apalachicola River near Sumatra, FL",19200.0,29.949371,-85.015469,Coastal Rivers
02469762,"Tombigbee River near Coffeeville, AL",02469761,"Tombigbee River near Coffeeville, AL",18417.0,31.757102,-88.12501,Large Inland Rivers
