"","ZIPCODE","PWSID","Contaminant","AnalyticalResultValue","city","state","latitude","longitude","timezone","dst"
"1","35906","AL0000588","PFBS",0.1,"Rainbow City","AL",33.943964,-86.06154,-6,TRUE
"2","35755","AL0001422","PFBS",0.15,"Langston","AL",34.501178,-86.11516,-6,TRUE
"3","80911","CO0121775","PFBS",0.15,"Colorado Springs","CO",38.746807,-104.7232,-7,TRUE
"4","30162","GA1150002","PFBS",0.25,"Rome","GA",34.290508,-85.213817,-5,TRUE
"5","30701","GA1290000","PFBS",0.37,"Calhoun","GA",34.4966,-84.93798,-5,TRUE
"6","19044","PA1460033","PFBS",0.11,"Horsham","PA",40.184758,-75.14386,-5,TRUE
"7","36068","AL0000017","PFHpA",0.02,"Prattville","AL",32.507893,-86.666272,-6,TRUE
"8","35046","AL0000213","PFHpA",0.01,"Clanton","AL",32.894351,-86.56504,-6,TRUE
"9","35057","AL0000413","PFHpA",0.02,"Cullman","AL",34.139198,-86.92449,-6,TRUE
"10","36054","AL0000549","PFHpA",0.01,"Millbrook","AL",32.492335,-86.36692,-6,TRUE
"11","35902","AL0000577","PFHpA",0.03,"Gadsden","AL",33.984062,-85.803434,-6,TRUE
"12","35906","AL0000588","PFHpA",0.02,"Rainbow City","AL",33.943964,-86.06154,-6,TRUE
"13","35907","AL0000591","PFHpA",0.02,"Gadsden","AL",33.906415,-86.02665,-6,TRUE
"14","35650","AL0000801","PFHpA",0.01,"Moulton","AL",34.496476,-87.27802,-6,TRUE
"15","35950","AL0000933","PFHpA",0.02,"Albertville","AL",34.261878,-86.22835,-6,TRUE
"16","35957","AL0000936","PFHpA",0.01,"Boaz","AL",34.203621,-86.1728,-6,TRUE
"17","35609","AL0001092","PFHpA",0.03,"Decatur","AL",34.495365,-86.82993,-6,TRUE
"18","35755","AL0001422","PFHpA",0.02,"Langston","AL",34.501178,-86.11516,-6,TRUE
"19","35051","AL0001671","PFHpA",0.01,"Columbiana","AL",33.201789,-86.61584,-6,TRUE
"20","85323","AZ0407046","PFHpA",0.03,"Avondale","AZ",33.454441,-112.32401,-7,FALSE
"21","85280","AZ0407100","PFHpA",0.013,"Tempe","AZ",33.401395,-111.931298,-7,FALSE
"22","85258","AZ0408001","PFHpA",0.015,"Scottsdale","AZ",33.566635,-111.89337,-7,FALSE
"23","91380","CA1910017","PFHpA",0.014,"Santa Clarita","CA",33.786594,-118.298662,-8,TRUE
"24","92705","CA3010027","PFHpA",0.0115,"Santa Ana","CA",33.762117,-117.81828,-8,TRUE
"25","92543","CA3310009","PFHpA",0.022,"Hemet","CA",33.73542,-116.97401,-8,TRUE
"26","92531","CA3310012","PFHpA",0.014,"Lake Elsinore","CA",33.752886,-116.055617,-8,TRUE
"27","92879","CA3310037","PFHpA",0.013,"Corona","CA",33.8808,-117.54068,-8,TRUE
"28","93274","CA5410016","PFHpA",0.013,"Tulare","CA",36.201451,-119.34994,-8,TRUE
"29","80817","CO0121275","PFHpA",0.02,"Fountain","CO",38.674013,-104.69627,-7,TRUE
"30","80911","CO0121775","PFHpA",0.07,"Colorado Springs","CO",38.746807,-104.7232,-7,TRUE
"31","80911","CO0121900","PFHpA",0.024,"Colorado Springs","CO",38.746807,-104.7232,-7,TRUE
"32","19702","DE0000552","PFHpA",0.08,"Newark","DE",39.626297,-75.71386,-5,TRUE
"33","19804","DE0000564","PFHpA",0.0488,"Wilmington","DE",39.721062,-75.60806,-5,TRUE
"34","32501","FL1170525","PFHpA",0.069,"Pensacola","FL",30.420997,-87.22305,-6,TRUE
"35","33146","FL4130871","PFHpA",0.022,"Miami","FL",25.720728,-80.27255,-5,TRUE
"36","33139","FL4130901","PFHpA",0.024,"Miami Beach","FL",25.784276,-80.14126,-5,TRUE
"37","33542","FL6512020","PFHpA",0.017,"Zephyrhills","FL",28.238489,-82.181913,-5,TRUE
"38","30747","GA0550003","PFHpA",0.01,"Summerville","GA",34.489848,-85.32928,-5,TRUE
"39","30228","GA0630000","PFHpA",0.01028,"Hampton","GA",33.401827,-84.30152,-5,TRUE
"40","30162","GA1150002","PFHpA",0.03,"Rome","GA",34.290508,-85.213817,-5,TRUE
"41","30224","GA2550000","PFHpA",0.01,"Griffin","GA",33.215454,-84.25427,-5,TRUE
"42","1085","MA1329000","PFHpA",0.011,NA,NA,NA,NA,NA,NA
"43","1749","MA2141000","PFHpA",0.01,NA,NA,NA,NA,NA,NA
"44","1949","MA3071000","PFHpA",0.016,NA,NA,NA,NA,NA,NA
"45","2601","MA4020004","PFHpA",0.058,NA,NA,NA,NA,NA,NA
"46","55303","MN1020001","PFHpA",0.0155,"Anoka","MN",45.247509,-93.418,-6,TRUE
"47","55042","MN1820016","PFHpA",0.0528,"Lake Elmo","MN",44.999023,-92.90939,-6,TRUE
"48","28002","NC0184010","PFHpA",0.01,"Albemarle","NC",35.264179,-80.108188,-5,TRUE
"49","28301","NC0326010","PFHpA",0.015,"Fayetteville","NC",35.042389,-78.84124,-5,TRUE
"50","28339","NC0343010","PFHpA",0.06,"Erwin","NC",35.322849,-78.68964,-5,TRUE
"51","27546","NC0343045","PFHpA",0.04,"Lillington","NC",35.396654,-78.83852,-5,TRUE
"52","27330","NC0353010","PFHpA",0.029,"Sanford","NC",35.458804,-79.16415,-5,TRUE
"53","28327","NC0363108","PFHpA",0.025,"Carthage","NC",35.319639,-79.40248,-5,TRUE
"54","27523","NC0392020","PFHpA",0.01,"Eagle Rock","NC",35.797692,-78.625265,-5,TRUE
"55","27540","NC0392050","PFHpA",0.02,"Holly Springs","NC",35.643545,-78.83486,-5,TRUE
"56","27526","NC0392055","PFHpA",0.05,"Fuquay Varina","NC",35.575302,-78.80234,-5,TRUE
"57","28422","NC0410045","PFHpA",0.047,"Bolivia","NC",34.006479,-78.19035,-5,TRUE
"58","28451","NC0410070","PFHpA",0.04096,"Leland","NC",34.25124,-78.06492,-5,TRUE
"59","28403","NC0465010","PFHpA",0.027,"Wilmington","NC",34.221512,-77.88452,-5,TRUE
"60","28390","NC5026019","PFHpA",0.013,"Spring Lake","NC",35.211913,-78.97499,-5,TRUE
"61","3820","NH0651010","PFHpA",0.015,NA,NA,NA,NA,NA,NA
"62","3842","NH1051010","PFHpA",0.012,NA,NA,NA,NA,NA,NA
"63","8401","NJ0102001","PFHpA",0.011,NA,NA,NA,NA,NA,NA
"64","7043","NJ0713001","PFHpA",0.01095,NA,NA,NA,NA,NA,NA
"65","7009","NJ0719001","PFHpA",0.012,NA,NA,NA,NA,NA,NA
"66","8817","NJ1205001","PFHpA",0.011,NA,NA,NA,NA,NA,NA
"67","7016","NJ2004002","PFHpA",0.011,NA,NA,NA,NA,NA,NA
"68","88240","NM3521613","PFHpA",0.012,"Hobbs","NM",32.70778,-103.16616,-7,TRUE
"69","13602","NY2212214","PFHpA",0.03,"Fort Drum","NY",44.03803,-75.75793,-5,TRUE
"70","12550","NY3503549","PFHpA",0.021,"Newburgh","NY",41.521593,-74.04072,-5,TRUE
"71","12553","NY3503580","PFHpA",0.019,"New Windsor","NY",41.46359,-74.05975,-5,TRUE
"72","11701","NY5110526","PFHpA",0.082,"Amityville","NY",40.6851,-73.41317,-5,TRUE
"73","45433","OH2903412","PFHpA",0.011,"Dayton","OH",39.813743,-84.05898,-5,TRUE
"74","18974","PA1090069","PFHpA",0.071,"Warminster","PA",40.211241,-75.0887,-5,TRUE
"75","18976","PA1090070","PFHpA",0.0336,"Warrington","PA",40.240295,-75.13458,-5,TRUE
"76","18901","PA1090128","PFHpA",0.08691,"Doylestown","PA",40.317473,-75.12854,-5,TRUE
"77","19002","PA1460020","PFHpA",0.012,"Ambler","PA",40.169608,-75.21158,-5,TRUE
"78","19010","PA1460028","PFHpA",0.011,"Bryn Mawr","PA",40.02371,-75.32764,-5,TRUE
"79","19044","PA1460033","PFHpA",0.039,"Horsham","PA",40.184758,-75.14386,-5,TRUE
"80","17111","PA7220015","PFHpA",0.0234,"Harrisburg","PA",40.264389,-76.80298,-5,TRUE
"81","29388","SC4220007","PFHpA",0.012,"Woodruff","SC",34.758703,-82.0483,-5,TRUE
"82","37412","TN0000613","PFHpA",0.01106,"Chattanooga","TN",34.996674,-85.23748,-5,TRUE
"83","79604","TX2210001","PFHpA",0.0161,"Abilene","TX",32.428796,-99.795167,-6,TRUE
"84","20112","VA6153600","PFHpA",0.01242,"Manassas","VA",38.685117,-77.44796,-5,TRUE
"85","98433","WA5326050","PFHpA",0.0127,"Tacoma","WA",47.080682,-122.57987,-8,TRUE
