# This automated data download from the USGS Tracking Water Quality of the Nation's Rivers and Streams website have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_QW_ID USGS station identifier for water-quality sampling (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_ID USGS or other agency station identifier for streamflow measurement (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#CONSTIT Abbreviation indicating constituent type.  Values include NO3+NO2: nitrate plus nitrite as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration
#WY Water year; the 12-month period beginning on October 1 for any given year and lasting through September 30 of the following year. The water year is designated by the calendar year in which it ends.
#MODTYPE The type of model used to compute load values.  Values include "COMP" indicating the composite method; "CONTIN" indicating loads were computed through the use of continuous nitrate data; "DAILY" indicated data were computed using daily values (SSC only); REG indicating models were computed using regression methods described in the technical information portion of the website using a 5-year moving window; "REG_2; REG_3; REG_4" indicating models were computed using regression methods described in the technical information portion of the website but with a 2 3 or 4-year moving windows (respectively) as opposed to a 5-year moving window; "REG_PRELIM" indicating that a model was developed using data collecting during the initial 2-4 years in which a site was sampled; models at these sites will continue to be updated until 5 years of data are collected; and "REGHIST" indicating that models were historically computed according to procedures described in Aulenbach and others (2007)
#TONS Load in tons
#TONS_L95 Lower 95% confidence interval of the water-quality load in tons
#TONS_U95 Upper 95% confidence interval of the water-quality load in tons
#FWC Annual flow-weighted concentrations in milligrams per liter
#YIELD  Yield in tons per square mile
SITE_QW_ID,SITE_FLOW_ID,CONSTIT,WY,MODTYPE,TONS_LOAD,TONS_L95,TONS_U95,FWC,YIELD
01184000,01184000,NO3_NO2,2014,REG,5100.0,4810.0,5400.0,0.286,0.528
01184000,01184000,SSC,2014,REG_PRELIM,1270000.0,746000.0,2030000.0,71.4,132.0
01184000,01184000,TN,2014,REG,10900.0,10200.0,11600.0,0.61,1.13
01184000,01184000,TP,2014,REG,1120.0,918.0,1360.0,0.0631,0.116
01209710,01209700,NO3_NO2,2014,REG,30.2,26.1,34.8,0.651,0.915
01209710,01209700,SSC,2014,REG_3,124.0,87.2,171.0,2.67,3.75
01209710,01209700,TN,2014,REG,44.9,40.6,49.5,0.968,1.36
01209710,01209700,TP,2014,REG,1.65,1.41,1.93,0.0356,0.0501
01349150,01349150,NO3_NO2,2014,REG_PRELIM,52.3,38.5,70.5,0.767,0.875
01463500,01463500,NO3_NO2,2014,REG,9190.0,8740.0,9650.0,0.832,1.36
01463500,01463500,SSC,2014,REG,330000.0,217000.0,482000.0,29.9,48.7
01463500,01463500,TN,2014,REG,13200.0,12500.0,14000.0,1.2,1.95
01463500,01463500,TP,2014,REG,708.0,649.0,772.0,0.0642,0.104
01578310,01578310,NO3_NO2,2014,REG,44600.0,41000.0,48300.0,1.24,1.65
01578310,01578310,SSC,2014,REG,635000.0,522000.0,766000.0,17.7,23.4
01578310,01578310,TN,2014,REG,61800.0,57200.0,66700.0,1.72,2.28
01578310,01578310,TP,2014,REG,2200.0,1920.0,2500.0,0.0612,0.0811
01646580,01646500,NO3_NO2,2014,REG,20500.0,17800.0,23500.0,1.53,1.77
01646580,01646500,SSC,2014,REG,1280000.0,888000.0,1790000.0,95.8,111.0
01646580,01646500,TN,2014,REG,25800.0,24100.0,27600.0,1.93,2.23
01646580,01646500,TP,2014,REG,1650.0,1290.0,2070.0,0.123,0.143
