# This automated data download from the USGS Tracking Water Quality of the Nation's Rivers and Streams website have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_QW_ID USGS station identifier for water-quality sampling (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_ID USGS or other agency station identifier for streamflow measurement (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#CONSTIT Abbreviation indicating constituent type.  Values include NO3+NO2: nitrate plus nitrite as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration
#DATE  Date of sample
#WY Water year; the 12-month period beginning on October 1 for any given year and lasting through September 30 of the following year. The water year is designated by the calendar year in which it ends.
#CONCENTRATION Concentration in milligrams per liter
#REMARK Water-quality remark.  This field is < if data are less than the laboratory reporting level or blank if they are not
SITE_QW_ID,SITE_FLOW_ID,CONSTIT,DATE,WY,CONCENTRATION,REMARK
01170100,01170100,NO3_NO2,2013-10-21,2014,0.01,<
01170100,01170100,NO3_NO2,2013-12-11,2014,0.11,
01170100,01170100,NO3_NO2,2014-02-12,2014,0.18,
01170100,01170100,NO3_NO2,2014-04-04,2014,0.15,
01170100,01170100,NO3_NO2,2014-06-26,2014,0.068,
01170100,01170100,NO3_NO2,2014-08-12,2014,0.066,
01170100,01170100,SSC,2013-10-21,2014,1.0,
01170100,01170100,SSC,2013-12-11,2014,1.0,
01170100,01170100,SSC,2014-02-12,2014,1.0,
01170100,01170100,SSC,2014-04-04,2014,16.0,
01170100,01170100,SSC,2014-06-26,2014,38.0,
01170100,01170100,SSC,2014-08-12,2014,0.5,<
01170100,01170100,TN,2013-10-21,2014,0.082,
01170100,01170100,TN,2013-12-11,2014,0.18,<
01170100,01170100,TN,2014-02-12,2014,0.26,
01170100,01170100,TN,2014-04-04,2014,0.28,
01170100,01170100,TN,2014-06-26,2014,0.39,
01170100,01170100,TN,2014-08-12,2014,0.15,
01170100,01170100,TP,2013-10-21,2014,0.0044,
01170100,01170100,TP,2013-12-11,2014,0.005,
01170100,01170100,TP,2014-02-12,2014,0.0055,
01170100,01170100,TP,2014-04-04,2014,0.0191,
01170100,01170100,TP,2014-06-26,2014,0.0495,
01170100,01170100,TP,2014-08-12,2014,0.004,<
01184000,01184000,NO3_NO2,2013-10-22,2014,0.315,
01184000,01184000,NO3_NO2,2013-11-06,2014,0.232,
01184000,01184000,NO3_NO2,2013-12-13,2014,0.448,
01184000,01184000,NO3_NO2,2014-01-08,2014,0.268,
01184000,01184000,NO3_NO2,2014-02-25,2014,0.466,
01184000,01184000,NO3_NO2,2014-03-04,2014,0.454,
01184000,01184000,NO3_NO2,2014-03-18,2014,0.418,
01184000,01184000,NO3_NO2,2014-04-03,2014,0.262,
01184000,01184000,NO3_NO2,2014-04-15,2014,0.271,
01184000,01184000,NO3_NO2,2014-05-16,2014,0.304,
01184000,01184000,NO3_NO2,2014-05-30,2014,0.235,
01184000,01184000,NO3_NO2,2014-06-17,2014,0.294,
01184000,01184000,NO3_NO2,2014-06-30,2014,0.281,
01184000,01184000,NO3_NO2,2014-07-14,2014,0.252,
01184000,01184000,NO3_NO2,2014-07-25,2014,0.242,
01184000,01184000,NO3_NO2,2014-08-15,2014,0.207,
01184000,01184000,NO3_NO2,2014-08-26,2014,0.3,
01184000,01184000,NO3_NO2,2014-09-10,2014,0.351,
01184000,01184000,SSC,2013-10-22,2014,2.0,
01184000,01184000,SSC,2013-11-06,2014,12.0,
01184000,01184000,SSC,2013-12-13,2014,3.0,
01184000,01184000,SSC,2014-01-08,2014,7.0,
01184000,01184000,SSC,2014-02-25,2014,4.0,
01184000,01184000,SSC,2014-03-04,2014,3.0,
01184000,01184000,SSC,2014-03-18,2014,5.0,
01184000,01184000,SSC,2014-04-03,2014,39.0,
01184000,01184000,SSC,2014-04-15,2014,250.0,
01184000,01184000,SSC,2014-05-16,2014,6.0,
01184000,01184000,SSC,2014-05-30,2014,31.0,
01184000,01184000,SSC,2014-06-17,2014,7.0,
01184000,01184000,SSC,2014-06-30,2014,8.0,
01184000,01184000,SSC,2014-07-14,2014,5.0,
01184000,01184000,SSC,2014-07-25,2014,4.0,
01184000,01184000,SSC,2014-08-15,2014,30.0,
01184000,01184000,SSC,2014-08-26,2014,2.0,
01184000,01184000,SSC,2014-09-10,2014,1.0,
01184000,01184000,TN,2013-10-22,2014,0.605,
01184000,01184000,TN,2013-11-06,2014,0.507,
01184000,01184000,TN,2013-12-13,2014,0.647,
01184000,01184000,TN,2014-01-08,2014,0.518,
01184000,01184000,TN,2014-02-25,2014,0.749,
01184000,01184000,TN,2014-03-04,2014,0.738,
01184000,01184000,TN,2014-03-18,2014,0.71,
01184000,01184000,TN,2014-04-03,2014,0.558,
01184000,01184000,TN,2014-04-15,2014,0.817,
01184000,01184000,TN,2014-05-16,2014,0.643,
01184000,01184000,TN,2014-05-30,2014,0.519,
01184000,01184000,TN,2014-06-17,2014,0.497,
01184000,01184000,TN,2014-06-30,2014,0.633,
01184000,01184000,TN,2014-07-14,2014,0.644,
01184000,01184000,TN,2014-07-25,2014,0.505,
01184000,01184000,TN,2014-08-15,2014,0.608,
01184000,01184000,TN,2014-08-26,2014,0.528,
01184000,01184000,TN,2014-09-10,2014,0.649,
01184000,01184000,TP,2013-10-22,2014,0.0346,
01184000,01184000,TP,2013-11-06,2014,0.0323,
01184000,01184000,TP,2013-12-13,2014,0.0241,
01184000,01184000,TP,2014-01-08,2014,0.0267,
01184000,01184000,TP,2014-02-25,2014,0.0255,
01184000,01184000,TP,2014-03-04,2014,0.026,
01184000,01184000,TP,2014-03-18,2014,0.0312,
01184000,01184000,TP,2014-04-03,2014,0.0581,
01184000,01184000,TP,2014-04-15,2014,0.239,
01184000,01184000,TP,2014-05-16,2014,0.0268,
01184000,01184000,TP,2014-05-30,2014,0.0455,
01184000,01184000,TP,2014-06-17,2014,0.0247,
01184000,01184000,TP,2014-06-30,2014,0.0297,
01184000,01184000,TP,2014-07-14,2014,0.114,
01184000,01184000,TP,2014-07-25,2014,0.0257,
01184000,01184000,TP,2014-08-15,2014,0.199,
01184000,01184000,TP,2014-08-26,2014,0.0236,
01184000,01184000,TP,2014-09-10,2014,0.0853,
01209710,01209700,NO3_NO2,2013-10-23,2014,0.208,
01209710,01209700,NO3_NO2,2013-11-07,2014,0.156,
01209710,01209700,NO3_NO2,2013-12-09,2014,0.609,
01209710,01209700,NO3_NO2,2014-01-07,2014,0.866,
01209710,01209700,NO3_NO2,2014-02-07,2014,1.17,
01209710,01209700,NO3_NO2,2014-02-20,2014,1.09,
01209710,01209700,NO3_NO2,2014-03-05,2014,1.04,
01209710,01209700,NO3_NO2,2014-03-17,2014,0.791,
01209710,01209700,NO3_NO2,2014-04-02,2014,0.885,
01209710,01209700,NO3_NO2,2014-04-16,2014,0.478,
01209710,01209700,NO3_NO2,2014-05-07,2014,0.635,
01209710,01209700,NO3_NO2,2014-05-14,2014,0.69,
01209710,01209700,NO3_NO2,2014-05-22,2014,0.639,
01209710,01209700,NO3_NO2,2014-06-03,2014,0.812,
01209710,01209700,NO3_NO2,2014-06-18,2014,0.853,
01209710,01209700,NO3_NO2,2014-06-25,2014,0.64,
01209710,01209700,NO3_NO2,2014-07-09,2014,0.585,
01209710,01209700,NO3_NO2,2014-07-23,2014,0.626,
01209710,01209700,NO3_NO2,2014-07-30,2014,0.58,
01209710,01209700,NO3_NO2,2014-08-05,2014,0.612,
01209710,01209700,NO3_NO2,2014-08-11,2014,0.545,
01209710,01209700,NO3_NO2,2014-08-21,2014,0.512,
01209710,01209700,NO3_NO2,2014-08-27,2014,0.931,
01209710,01209700,NO3_NO2,2014-09-15,2014,0.514,
01209710,01209700,NO3_NO2,2014-09-29,2014,0.281,
01209710,01209700,SSC,2013-10-23,2014,0.5,<
01209710,01209700,SSC,2013-11-07,2014,0.5,<
01209710,01209700,SSC,2013-12-09,2014,1.0,
01209710,01209700,SSC,2014-01-07,2014,6.0,
01209710,01209700,SSC,2014-02-07,2014,2.0,
01209710,01209700,SSC,2014-02-20,2014,3.0,
01209710,01209700,SSC,2014-03-05,2014,2.0,
01209710,01209700,SSC,2014-03-17,2014,1.0,
01209710,01209700,SSC,2014-04-02,2014,3.0,
01209710,01209700,SSC,2014-04-16,2014,7.0,
01209710,01209700,SSC,2014-05-07,2014,2.0,
01209710,01209700,SSC,2014-05-14,2014,2.0,
