zip,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10304,1,1.56037663,1.366555652,1.840314913,1.549993248,1.44002693,1.268099604,1.230184124,1.400056289,1.260842124,1.471231734,1.443417882
10306,1,1.210757121,1.385354094,1.503188032,1.443107288,1.19776683,1.034856434,1.213441996,1.07346867,1.41570832,1.000659587,1.076954932
10312,1,1.358890574,1.452831152,1.43313665,1.22592965,1.09717372,1.482042737,1.456948017,1.127532534,1.260872024,1.630199755,1.809611519
11354,1,1.97078473,3.251508086,4.080215358,3.740321039,3.522617821,3.2651152,2.226678822,2.630265356,2.359528249,2.307833697,2.317722897
11355,1,1.578673299,2.831018802,2.36449028,1.815887649,1.717348791,3.317238675,1.571218201,1.619346949,1.7625327,1.603329801,1.774054439
11357,1,1.667047371,2.41935959,2.753350771,1.675812946,1.849541584,1.481264965,1.665868897,1.748165457,1.480968185,1.20626939,1.278558547
11367,1,1.147089076,1.505510347,2.139584811,1.308631082,2.066764879,1.462323004,2.098634804,2.113859274,1.861270905,1.834555219,1.709800317
11368,1,1.253613248,1.329615855,1.254549258,1.447648555,1.519282181,1.533690085,1.338293432,1.836397196,1.442268804,1.452801117,1.178581859
11372,1,1.246294535,1.044211759,1.227034704,1.352459055,1.118035957,1.177593698,1.560402822,1.777634724,1.258097248,1.362044318,1.581071293
11373,1,1.190809109,1.215937307,1.613913701,1.172040861,1.24983042,1.651891329,1.503252565,1.634046466,1.398858524,1.474681601,1.344458524
11375,1,2.211574155,1.448983784,2.463386832,1.2364878,1.270728839,1.229819385,1.282416964,1.326245751,1.269408226,1.589800382,2.192467049
11377,1,1.434805569,1.71512159,2.034536127,1.528651397,1.772885108,1.867771506,1.626192718,1.281882923,1.335091839,1.218728013,1.969103953
11378,1,2.381505057,1.638058724,1.603516883,1.484058625,1.66692972,1.281966921,1.139643365,1.324123775,1.641140577,1.353409485,1.090627038
11385,1,2.257302474,2.172161359,1.95672953,1.405902051,1.663627521,1.536404117,1.185083798,1.493440695,1.706262779,1.558505378,1.646365739
11419,1,1.088887985,1.286854374,1.439466704,1.270173671,1.250376227,1.466290901,1.303281241,1.12383393,1.099520145,1.063185083,1.19923818
11433,1,1.09174534,1.566425444,1.622403284,1.46295619,1.539954295,0.940483912,1.417566429,1.385378653,1.431481821,1.330958945,1.059815154
11434,1,1.081261074,1.067981922,1.125748855,1.53676988,1.305071755,1.01245121,1.524067697,1.42439661,1.115249055,0.995608202,0.958122231
11435,1,1.510050834,1.712013288,2.490130866,1.94700049,2.011807856,1.453220517,1.825621099,2.486023362,1.64783073,1.295992293,1.280941438
10452,1,1.635690631,1.869408506,1.875933252,1.540402117,1.498534532,1.443866695,1.393310651,1.176300619,1.652907851,1.43691638,1.364256602
10453,1,2.275312919,1.085147064,2.466530945,3.27371718,1.440822443,2.087532969,2.093693257,2.975615222,1.73685862,2.489490199,1.707303964
10458,1,1.303885719,1.185150807,1.531519762,1.476275123,1.522941079,1.387897007,1.377653693,1.050617993,1.078651015,1.116115264,1.193146076
10460,1,1.173651748,1.583764478,1.543281884,1.517227345,1.682223224,1.337453317,1.33061234,1.547944501,1.092184506,1.541447432,1.137333021
10461,1,2.04576883,1.679626494,2.232838946,1.436572253,1.377379061,1.401251375,1.963948638,1.420552437,1.61715855,2.243825217,1.771400974
10462,1,3.998055659,5.22247703,9.035374385,3.502706306,2.344870582,2.65104907,2.070698041,3.109395428,2.77764095,2.201998606,2.050902341
10466,1,1.63803684,1.500339217,1.258237018,1.145502532,1.777594212,1.622293841,1.622355708,1.487740929,1.308943177,1.428722046,1.612956281
10467,1,1.525598433,1.515663231,1.633667665,1.310148186,1.395598438,1.52837483,2.266358392,1.335498043,1.363377793,1.400364776,1.545288392
10468,1,1.94777755,2.002405959,2.270311962,1.200741076,1.589256167,1.376160929,1.224970453,1.999704512,1.525217356,1.281764975,2.836959781
